recipeId,inputSubstanceIds,resultSubstanceId,resultAmount
recipe_edgeblock_stance_friendliness,stance_relaxedness|stance_curiosity,edgeblock_stance_friendliness,1
recipe_edgeblock_stance_musical_temptation,stance_affection|stance_hobby_music,edgeblock_stance_musical_temptation,1
recipe_edgeblock_stance_narcissism,stance_vanity|stance_inferiority_complex,edgeblock_stance_narcissism,1
recipe_edgeblock_stance_perfectionism,stance_control|stance_anxiety,edgeblock_stance_perfectionism,1
recipe_edgeblock_stance_exercise_addiction,stance_muscular_type|stance_steroids,edgeblock_stance_exercise_addiction,1
recipe_edgeblock_stance_pregnancy,stance_chubby_type|stance_new_life,edgeblock_stance_pregnancy,1
recipe_edgeblock_stance_artistic_temptation,stance_affection|stance_hobby_art,edgeblock_stance_artistic_temptation,1
recipe_edgeblock_stance_consideration,stance_indifference|stance_wariness,edgeblock_stance_consideration,1
recipe_edgeblock_stance_interest,stance_relaxedness|stance_affection,edgeblock_stance_interest,1
recipe_edgeblock_stance_lowered_boundaries,stance_relaxedness|stance_wariness,edgeblock_stance_lowered_boundaries,1
recipe_edgeblock_stance_tenderness,stance_relaxedness|stance_goodwill,edgeblock_stance_tenderness,1
recipe_edgeblock_stance_bond,stance_trust|stance_empathy,edgeblock_stance_bond,1
recipe_edgeblock_stance_cinematic_allure,stance_hobby_movies|edgeblock_stance_bond,edgeblock_stance_cinematic_allure,1
