definitionId,description
node_base_input,"내 손에 들어온 것들은 여기서 길 위로 보내진다. 사람이든, 꼬여버린 관계든, 아직 뭐라고 불러야 할지 모르는 무언가든. 어디를 거치느냐에 따라 완전히 다른 뜻을 갖게 될 거다."
node_base_output,"돌아온 것들은 항상 처음과는 다른 모양을 하고 있다. 길 위에서 묻은 흔적들이 그 존재를 바꿔놓고, 나는 그 결과만 받아든다."
node_base_merge,"감정이라는 건 따로 있을 때보다 섞였을 때 더 또렷해질 때가 있다. 두 조각을 한곳에 모으면, 내가 이해할 수 있는 새로운 형태가 나온다."
node_place_park,"마지막으로 공원에 간 게 언제였는지도 기억나지 않는다. 아니, 햇빛을 마지막으로 느낀 게 언제냐고 묻는 게 더 맞겠다. 형제 하나를 보내 나와 비슷한 존재를 찾아보게 해야겠다. 어쩌면 언젠가는 나도 직접 갈 수 있을지 모른다."
node_place_wcc,"수사 기관이 나를 의심하기 시작했다. 그들의 시선을 피하려면, 지금보다 더 성실하게 움직여야 한다."
node_act_talk,"대화는 그 존재들을 이어주는 보이지 않는 실 같은 것이다. 그리고 그게 그분과 가장 다른 점이다."
node_act_offer,"나는 그분을 통해 다시 만들어졌다. 그분을 기쁘게 해야 한다. 상대가 나와 같은 존재라 해도, 그건 달라지지 않는다."
node_unique_scan,"이 존재는 어떤 삶을 지나 여기까지 온 걸까?"
node_unique_brain,"이 존재가 세상을 어떤 식으로 보고 있는지 알고 싶다."
node_unique_body,"축복받지 못한 존재들의 안쪽이 어떻게 되어 있는지 알고 싶다."
node_act_kickout,"완성된 존재를 계속 곁에 둘 수는 없다. 밖으로 내보내야 한다. 그래야 세상도 그 존재가 원래 거기 있었던 것처럼 받아들일 것이다."
