ruleId,priority,requiredSubstanceId,requiredTags,requiredHistorySequence,requiredDiscoveredSubstanceIds,requiredUndiscoveredSubstanceIds,resultSubstanceId,resultAmount
worker_hallway_death,700,person_worker,,node:node_place_hallway,,,person_worker_dead_1,1
worker_room_alive,700,person_worker,,node:node_place_room,,,person_worker,1
worker_hole_death,700,person_worker,,node:node_place_hole,,,person_worker_dead_1,1
worker_hallway_room_alive,700,person_worker,,node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_hallway_hole_death,700,person_worker,,node:node_place_hallway|node:node_place_hole,,,person_worker_dead_1,1
worker_room_hallway_death,700,person_worker,,node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_room_hole_alive,700,person_worker,,node:node_place_room|node:node_place_hole,,,person_worker,1
worker_hole_hallway_death,700,person_worker,,node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_hole_room_alive,700,person_worker,,node:node_place_hole|node:node_place_room,,,person_worker,1
worker_record_hallway_death,800,person_worker,,node:node_act_record|node:node_place_hallway,,,person_worker_dead_1,1
worker_record_r_alive,800,person_worker,,node:node_act_record|node:node_place_room,,,person_worker,1
worker_record_o_death,800,person_worker,,node:node_act_record|node:node_place_hole,,,person_worker_dead_1,1
worker_record_h_r_alive,800,person_worker,,node:node_act_record|node:node_place_hallway|node:node_place_room,,,person_worker,1
worker_record_h_o_death,800,person_worker,,node:node_act_record|node:node_place_hallway|node:node_place_hole,,,person_worker_dead_1,1
worker_record_r_h_death,800,person_worker,,node:node_act_record|node:node_place_room|node:node_place_hallway,,,person_worker_dead_1,1
worker_record_r_o_alive,800,person_worker,,node:node_act_record|node:node_place_room|node:node_place_hole,,,person_worker,1
worker_record_o_h_death,800,person_worker,,node:node_act_record|node:node_place_hole|node:node_place_hallway,,,person_worker_dead_1,1
worker_record_o_r_alive,800,person_worker,,node:node_act_record|node:node_place_hole|node:node_place_room,,,person_worker,1
worker_camera_hallway_alive,900,person_worker,,node:node_act_record|edgeBlock:edgeblock_tool_camera|node:node_place_hallway,,,person_worker,1
