substanceId,displayName,imagePath,kind,baseTags,baseValue,addedTags,durationMultiplier,valueMultiplier
person_worker,직원,Assets/_Project/Arts/Substances/Sprite_Person_Worker.png,Person,person_worker,0,,0,0
person_worker_dead_hallway_chase,사망한 직원,Assets/_Project/Arts/Substances/Sprite_Person_Worker_Dead.png,Person_Captive,person_worker_dead_hallway_chase,0,,0,0
person_worker_dead_visual_contact,사망한 직원,Assets/_Project/Arts/Substances/Sprite_Person_Worker_Dead.png,Person_Captive,person_worker_dead_visual_contact,0,,0,0
person_worker_dead_pit_return_chase,사망한 직원,Assets/_Project/Arts/Substances/Sprite_Person_Worker_Dead.png,Person_Captive,person_worker_dead_pit_return_chase,0,,0,0
edgeblock_tool_camera,카메라,Assets/_Project/Arts/Substances/Sprite_Tool_Camera.png,EdgeBlock_Tool,,0,edgeblock_tool_camera,0,0
edgeblock_tool_flashlight,손전등,Assets/_Project/Arts/Substances/Sprite_Tool_Flashlight.png,EdgeBlock_Tool,,0,edgeblock_tool_flashlight,0,0
edgeblock_tool_ultrasonic_sensor,환경음 기록 보고서,Assets/_Project/Arts/Substances/Sprite_Tool_ESD.png,EdgeBlock_Tool,,0,edgeblock_tool_ultrasonic_sensor,0,0
evidence_noisy_observation_file,잡음 가득한 기록,Assets/_Project/Arts/Substances/Exploration Datas/VoiceRecordData.png,Unique,evidence_noisy_observation_file,0,,0,0
evidence_hallway_chase_death_diagnosis,사망 진단서,Assets/_Project/Arts/Substances/DeathCertificate.png,Stance,evidence_hallway_chase_death_diagnosis,0,,0,0
evidence_footsteps_beyond_wall,환경음 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/EnvironmentData.png,Stance,evidence_footsteps_beyond_wall,0,,0,0
evidence_escaped_by_sound,환경음 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/EnvironmentData.png,Unique,evidence_escaped_by_sound,0,,0,0
evidence_hidden_room_refuge_record,환경음 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/VoiceRecordData.png,Unique,evidence_hidden_room_refuge_record,0,,0,0
evidence_entity_stopped_at_door,환경음 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/VoiceRecordData.png,Unique,evidence_entity_stopped_at_door,0,,0,0
evidence_footsteps_waiting_outside,환경음 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/EnvironmentData.png,Unique,evidence_footsteps_waiting_outside,0,,0,0
evidence_final_handwritten_shape,휘갈겨쓴 메모,Assets/_Project/Arts/Substances/Exploration Datas/RawData.png,Stance,evidence_final_handwritten_shape,0,,0,0
evidence_visual_contact_death_diagnosis,사망 진단서,Assets/_Project/Arts/Substances/DeathCertificate.png,Stance,evidence_visual_contact_death_diagnosis,0,,0,0
evidence_pit_return_chase_death_diagnosis,사망 진단서,Assets/_Project/Arts/Substances/DeathCertificate.png,Stance,evidence_pit_return_chase_death_diagnosis,0,,0,0
evidence_pit_return_chase_report,사망 진단서,Assets/_Project/Arts/Substances/DeathCertificate.png,Unique,evidence_pit_return_chase_report,0,,0,0
evidence_shaken_entity_photo,사진 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/PictureData.png,Unique,evidence_shaken_entity_photo,0,,0,0
evidence_hidden_room_note,휘갈겨쓴 메모,Assets/_Project/Arts/Substances/Exploration Datas/RawData.png,Unique,evidence_hidden_room_note,0,,0,0
evidence_black_afterimage_photo,사진 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/PictureData.png,Unique,evidence_black_afterimage_photo,0,,0,0
evidence_return_timing_audio,환경음 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/EnvironmentData.png,Unique,evidence_return_timing_audio,0,,0,0
evidence_hidden_room_pit_photo_wall,사진 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/PictureData.png,Stance,evidence_hidden_room_pit_photo_wall,0,,0,0
evidence_lighting_cycle_record,기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/TemplateData.png,Unique,evidence_lighting_cycle_record,0,,0,0
evidence_hidden_room_pit_photo_inside,사진 기록 보고서,Assets/_Project/Arts/Substances/DeathCertificate.png,Unique,evidence_hidden_room_pit_photo_inside,0,,0,0
evidence_pit_missing_report,실종 보고서,Assets/_Project/Arts/Substances/DeathCertificate.png,Stance,evidence_pit_missing_report,0,,0,0
evidence_empty_pit_light_record,구덩이 구역 조사 보고서,Assets/_Project/Arts/Substances/Exploration Datas/TemplateData.png,Unique,evidence_empty_pit_light_record,0,,0,0
evidence_meaningless_pit_observation,대충 쓴 관측 보고서,Assets/_Project/Arts/Substances/Exploration Datas/TemplateData.png,Unique,evidence_meaningless_pit_observation,0,,0,0
evidence_pit_grid_handwritten,휘갈겨쓴 메모,Assets/_Project/Arts/Substances/Exploration Datas/RawData.png,Unique,evidence_pit_grid_handwritten,0,,0,0
evidence_chase_sound_cut_at_pit,환경음 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/EnvironmentData.png,Unique,evidence_chase_sound_cut_at_pit,0,,0,0
evidence_clear_pit_grid_photo,사진 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/PictureData.png,Unique,evidence_clear_pit_grid_photo,0,,0,0
evidence_pit_photo_without_entity,사진 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/PictureData.png,Unique,evidence_pit_photo_without_entity,0,,0,0
evidence_lured_entity_handwritten,휘갈겨쓴 메모,Assets/_Project/Arts/Substances/Exploration Datas/RawData.png,Unique,evidence_lured_entity_handwritten,0,,0,0
evidence_clear_entity_photo_pit,사진 기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/PictureData.png,Unique,evidence_clear_entity_photo_pit,0,,0,0
evidence_recovered_sanity_hidden_room,기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/TemplateData.png,Unique,evidence_recovered_sanity_hidden_room,0,,0,0
evidence_basement_entrance_revealed,지하실 입구,,Unique,evidence_basement_entrance_revealed,0,,0,0
evidence_abnormal_sound_fell_into_pit,기록 보고서,Assets/_Project/Arts/Substances/Exploration Datas/EnvironmentData.png,Unique,evidence_abnormal_sound_fell_into_pit,0,,0,0
